Descrição;Média Mensal
Manutenção de redes de distribuição de energia elétrica;1.5
Comércio a varejo de automóveis, camionetas e utilitários novos;1.333333333
Comércio a varejo de automóveis, camionetas e utilitários novos;2
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente;1.166666667
Bancos múltiplos, com carteira comercial;1
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;2
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;1
Justiça;1.5
Obras de montagem industrial;1.333333333
Comércio varejista de produtos farmacêuticos homeopáticos;1
Fabricação de artefatos de material plástico para uso pessoal e doméstico;1.25
Outras atividades de ensino não especificadas anteriormente;1
Atividades de exibição cinematográfica;1
Atividades de monitoramento de sistemas de segurança eletrônico;1.5
Comércio varejista de lubrificantes;6
Padaria e confeitaria com predominância de revenda;1
Comércio varejista de plantas e flores naturais;4.1
Comércio varejista de artigos de papelaria;1.5
Construção de rodovias e ferrovias;11.66666667
Reforma de pneumáticos usados;1.166666667
Segurança e ordem pública;1.909090909
Comércio a varejo de peças e acessórios novos para veículos automotores;1
Construção de edifícios;1
Locação de mão-de-obra temporária;1
Limpeza em prédios e em domicílios;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1.2
Administração pública em geral;1.454545455
Serviços advocatícios;1
Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.);1
Instalação e manutenção elétrica;1
Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;1
Comércio varejista de artigos do vestuário e acessórios;8
Construção de edifícios;6
Justiça;1
Serviços ambulantes de alimentação;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;1.621621622
Transporte aéreo de passageiros regular;1.571428571
Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;1.5
Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;1.25
Justiça;5.388888889
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1.142857143
Laboratórios clínicos;3.666666667
Comércio varejista de materiais de construção não especificados anteriormente;6
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Laboratórios clínicos;1.333333333
Consultoria em tecnologia da informação;1
Consultoria em tecnologia da informação;1
Fabricação de especiarias, molhos, temperos e condimentos;2.228571429
Atividades associativas não especificadas anteriormente;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana;1
Educação infantil - creche;1
Construção de edifícios;3.5
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;1
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;6
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;1
Atividades de teleatendimento;3.230769231
Locação de mão-de-obra temporária;1
Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório;1
Comércio atacadista de livros, jornais e outras publicações;1
Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;1
Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;1
Coleta de resíduos não-perigosos;1.5
Montagem de estruturas metálicas;1
Construção de edifícios;1
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;2.833333333
Obras de montagem industrial;1
Construção de edifícios;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1.6
Lanchonetes, casas de chá, de sucos e similares;1
Gestão e administração da propriedade imobiliária;1.142857143
Atividades de associações de defesa de direitos sociais;5
Comércio varejista de combustíveis para veículos automotores;1.181818182
Fabricação de outros produtos de metal não especificados anteriormente;1
Comércio varejista de calçados;1
Torrefação e moagem de café;2
Outras obras de instalações em construções não especificadas anteriormente;1
Corretores e agentes de seguros, de planos de previdência complementar e de saúde;1
Condomínios prediais;1
Construção de edifícios;3.791666667
Atividades de associações de defesa de direitos sociais;5
Restaurantes e similares;1
Fabricação de conservas de frutas;2.666666667
Comércio atacadista de produtos alimentícios em geral;2.285714286
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;1
Fabricação de luminárias e outros equipamentos de iluminação;1
Desenvolvimento de programas de computador sob encomenda;1.214285714
Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;3.181818182
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Comércio varejista de móveis;1
Fabricação de componentes eletrônicos;21
Fabricação de artefatos de cimento para uso na construção;1
Fabricação de aparelhos e equipamentos de medida, teste e controle;1
Atividades de associações de defesa de direitos sociais;1
Lanchonetes, casas de chá, de sucos e similares;20
Clubes sociais, esportivos e similares;1
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1
Comércio atacadista de produtos de higiene pessoal;1
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1
Outras atividades de serviços financeiros não especificadas anteriormente;35
Fabricação de baterias e acumuladores para veículos automotores;60.5
Agenciamento de cargas, exceto para o transporte marítimo;1
Comércio varejista de material elétrico;1
Atividades de vigilância e segurança privada;1.333333333
Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;5
Restaurantes e similares;13
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;4.533333333
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Atividade médica ambulatorial com recursos para realização de exames complementares;1
Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;1
Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;1
Atividades de organizações religiosas ou filosóficas;5
Transporte rodoviário de produtos perigosos;1.266666667
Transporte rodoviário de produtos perigosos;2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de produtos perigosos;1
Corretores e agentes de seguros, de planos de previdência complementar e de saúde;1
Serviços advocatícios;1
Lanchonetes, casas de chá, de sucos e similares;1.944444444
Lanchonetes, casas de chá, de sucos e similares;2.111111111
Lanchonetes, casas de chá, de sucos e similares;1.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;4.5
Comércio varejista de material elétrico;1
Comércio varejista de artigos do vestuário e acessórios;1
Restaurantes e similares;12.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Administração de obras;1
Comércio varejista de combustíveis para veículos automotores;1.533333333
Restaurantes e similares;1
Instalação e manutenção elétrica;2
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;3.117647059
Serviços de engenharia;1
Serviços de engenharia;3
Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;3
Fiação de fibras artificiais e sintéticas;1
Fabricação de periféricos para equipamentos de informática;1.166666667
"Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças";1
Obras de fundações;1.125
Fabricação de massas alimentícias;1.416666667
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;5.714285714
